dataset,experiment,subject,trials_per_class,mode,mean_accuracy,std_accuracy
BNCI2014_001,csp_lda,1,5,csp_lda,0.5986111111111111,0.0381375839381832
BNCI2014_001,csp_lda,1,10,csp_lda,0.7069444444444444,0.054926999814681
BNCI2014_001,csp_lda,1,20,csp_lda,0.8027777777777778,0.0178945815648959
BNCI2014_001,csp_lda,1,50,csp_lda,0.8722222222222221,0.0306186217847897
BNCI2014_001,csp_lda,2,5,csp_lda,0.5111111111111111,0.0369036951544067
BNCI2014_001,csp_lda,2,10,csp_lda,0.525,0.0279853356661248
BNCI2014_001,csp_lda,2,20,csp_lda,0.5305555555555556,0.015590239111558
BNCI2014_001,csp_lda,2,50,csp_lda,0.5222222222222223,0.0212459146399699
BNCI2014_001,csp_lda,3,5,csp_lda,0.6986111111111111,0.0769048233328173
BNCI2014_001,csp_lda,3,10,csp_lda,0.8166666666666667,0.0369036951544067
BNCI2014_001,csp_lda,3,20,csp_lda,0.8597222222222222,0.0699150719369623
BNCI2014_001,csp_lda,3,50,csp_lda,0.8805555555555555,0.0323941771935849
BNCI2014_001,csp_lda,4,5,csp_lda,0.5611111111111111,0.0732828108792939
BNCI2014_001,csp_lda,4,10,csp_lda,0.5652777777777778,0.040397332145136
BNCI2014_001,csp_lda,4,20,csp_lda,0.6250000000000001,0.0498841249890777
BNCI2014_001,csp_lda,4,50,csp_lda,0.6458333333333333,0.0504608392349582
BNCI2014_001,csp_lda,5,5,csp_lda,0.5097222222222222,0.0347499888977688
BNCI2014_001,csp_lda,5,10,csp_lda,0.5027777777777778,0.0034020690871988
BNCI2014_001,csp_lda,5,20,csp_lda,0.5097222222222222,0.0112833866731054
BNCI2014_001,csp_lda,5,50,csp_lda,0.5430555555555555,0.0459384316903923
BNCI2014_001,csp_lda,6,5,csp_lda,0.5361111111111111,0.0962651302842414
BNCI2014_001,csp_lda,6,10,csp_lda,0.6041666666666667,0.0740161810804123
BNCI2014_001,csp_lda,6,20,csp_lda,0.601388888888889,0.0573663234112871
BNCI2014_001,csp_lda,6,50,csp_lda,0.6458333333333333,0.0684653196881457
BNCI2014_001,csp_lda,7,5,csp_lda,0.5458333333333334,0.0598351645237167
BNCI2014_001,csp_lda,7,10,csp_lda,0.5402777777777779,0.0352460487234708
BNCI2014_001,csp_lda,7,20,csp_lda,0.6513888888888889,0.0897312516956283
BNCI2014_001,csp_lda,7,50,csp_lda,0.6652777777777779,0.0826826448118734
BNCI2014_001,csp_lda,8,5,csp_lda,0.7236111111111111,0.1380111151365518
BNCI2014_001,csp_lda,8,10,csp_lda,0.8125,0.0605402631047315
BNCI2014_001,csp_lda,8,20,csp_lda,0.8861111111111111,0.0459804037701301
BNCI2014_001,csp_lda,8,50,csp_lda,0.9555555555555556,0.0094199027543406
BNCI2014_001,csp_lda,9,5,csp_lda,0.6083333333333334,0.1554439083463077
BNCI2014_001,csp_lda,9,10,csp_lda,0.7819444444444444,0.060316807640579
BNCI2014_001,csp_lda,9,20,csp_lda,0.7486111111111111,0.1105367097281752
BNCI2014_001,csp_lda,9,50,csp_lda,0.8347222222222221,0.0212459146399699
BNCI2014_001,masked_ssl,1,5,csp_lda,0.5986111111111111,0.0381375839381832
BNCI2014_001,masked_ssl,1,10,csp_lda,0.7069444444444444,0.054926999814681
BNCI2014_001,masked_ssl,1,20,csp_lda,0.8027777777777778,0.0178945815648959
BNCI2014_001,masked_ssl,1,50,csp_lda,0.8722222222222221,0.0306186217847897
BNCI2014_001,masked_ssl,2,5,csp_lda,0.5111111111111111,0.0369036951544067
BNCI2014_001,masked_ssl,2,10,csp_lda,0.525,0.0279853356661248
BNCI2014_001,masked_ssl,2,20,csp_lda,0.5305555555555556,0.015590239111558
BNCI2014_001,masked_ssl,2,50,csp_lda,0.5222222222222223,0.0212459146399699
BNCI2014_001,masked_ssl,3,5,csp_lda,0.6986111111111111,0.0769048233328173
BNCI2014_001,masked_ssl,3,10,csp_lda,0.8166666666666667,0.0369036951544067
BNCI2014_001,masked_ssl,3,20,csp_lda,0.8597222222222222,0.0699150719369623
BNCI2014_001,masked_ssl,3,50,csp_lda,0.8805555555555555,0.0323941771935849
BNCI2014_001,masked_ssl,4,5,csp_lda,0.5611111111111111,0.0732828108792939
BNCI2014_001,masked_ssl,4,10,csp_lda,0.5652777777777778,0.040397332145136
BNCI2014_001,masked_ssl,4,20,csp_lda,0.6250000000000001,0.0498841249890777
BNCI2014_001,masked_ssl,4,50,csp_lda,0.6458333333333333,0.0504608392349582
BNCI2014_001,masked_ssl,5,5,csp_lda,0.5097222222222222,0.0347499888977688
BNCI2014_001,masked_ssl,5,10,csp_lda,0.5027777777777778,0.0034020690871988
BNCI2014_001,masked_ssl,5,20,csp_lda,0.5097222222222222,0.0112833866731054
BNCI2014_001,masked_ssl,5,50,csp_lda,0.5430555555555555,0.0459384316903923
BNCI2014_001,masked_ssl,6,5,csp_lda,0.5361111111111111,0.0962651302842414
BNCI2014_001,masked_ssl,6,10,csp_lda,0.6041666666666667,0.0740161810804123
BNCI2014_001,masked_ssl,6,20,csp_lda,0.601388888888889,0.0573663234112871
BNCI2014_001,masked_ssl,6,50,csp_lda,0.6458333333333333,0.0684653196881457
BNCI2014_001,masked_ssl,7,5,csp_lda,0.5458333333333334,0.0598351645237167
BNCI2014_001,masked_ssl,7,10,csp_lda,0.5402777777777779,0.0352460487234708
BNCI2014_001,masked_ssl,7,20,csp_lda,0.6513888888888889,0.0897312516956283
BNCI2014_001,masked_ssl,7,50,csp_lda,0.6652777777777779,0.0826826448118734
