subject,trials_per_class,mode,mean_accuracy,std_accuracy
1,5,ssl_frozen_linear_probe,0.5466666666666666,0.07774602526460399
1,5,ssl_full_finetune,0.6266666666666667,0.12364824660660939
1,10,ssl_frozen_linear_probe,0.5066666666666666,0.06798692684790378
1,10,ssl_full_finetune,0.7333333333333334,0.14605934866804432
2,5,ssl_frozen_linear_probe,0.44000000000000006,0.13727506854649335
2,5,ssl_full_finetune,0.8133333333333332,0.07774602526460403
2,10,ssl_frozen_linear_probe,0.49333333333333335,0.1083205120618128
2,10,ssl_full_finetune,0.8133333333333332,0.04988876515698591
3,5,ssl_frozen_linear_probe,0.48,0.0979795897113271
3,5,ssl_full_finetune,0.4933333333333333,0.05333333333333332
3,10,ssl_frozen_linear_probe,0.52,0.06531972647421808
3,10,ssl_full_finetune,0.5466666666666666,0.04988876515698587
4,5,ssl_frozen_linear_probe,0.5199999999999999,0.02666666666666666
4,5,ssl_full_finetune,0.5866666666666667,0.10666666666666669
4,10,ssl_frozen_linear_probe,0.5199999999999999,0.02666666666666666
4,10,ssl_full_finetune,0.6533333333333332,0.10666666666666667
5,5,ssl_frozen_linear_probe,0.4933333333333333,0.09977753031397174
5,5,ssl_full_finetune,0.4666666666666667,0.04216370213557838
5,10,ssl_frozen_linear_probe,0.5066666666666666,0.03265986323710904
5,10,ssl_full_finetune,0.56,0.13063945294843615
6,5,ssl_frozen_linear_probe,0.4533333333333333,0.06531972647421809
6,5,ssl_full_finetune,0.48,0.06531972647421806
6,10,ssl_frozen_linear_probe,0.4666666666666667,0.04216370213557838
6,10,ssl_full_finetune,0.49333333333333335,0.09977753031397174
7,5,ssl_frozen_linear_probe,0.6266666666666667,0.07999999999999999
7,5,ssl_full_finetune,0.8533333333333333,0.04988876515698588
7,10,ssl_frozen_linear_probe,0.6666666666666666,0.04216370213557838
7,10,ssl_full_finetune,0.9466666666666667,0.04988876515698587
8,5,ssl_frozen_linear_probe,0.5066666666666666,0.1083205120618128
8,5,ssl_full_finetune,0.49333333333333335,0.05333333333333332
8,10,ssl_frozen_linear_probe,0.5066666666666666,0.053333333333333316
8,10,ssl_full_finetune,0.5199999999999999,0.08844332774281063
9,5,ssl_frozen_linear_probe,0.6399999999999999,0.06798692684790378
9,5,ssl_full_finetune,0.6133333333333333,0.07774602526460399
9,10,ssl_frozen_linear_probe,0.6799999999999999,0.02666666666666666
9,10,ssl_full_finetune,0.6533333333333333,0.07774602526460403
10,5,ssl_frozen_linear_probe,0.48,0.06531972647421806
10,5,ssl_full_finetune,0.5733333333333333,0.07999999999999999
10,10,ssl_frozen_linear_probe,0.49333333333333335,0.1083205120618128
10,10,ssl_full_finetune,0.5866666666666667,0.12220201853215572
11,5,ssl_frozen_linear_probe,0.52,0.04988876515698587
11,5,ssl_full_finetune,0.6,0.09428090415820632
11,10,ssl_frozen_linear_probe,0.49333333333333335,0.05333333333333333
11,10,ssl_full_finetune,0.5066666666666667,0.05333333333333332
12,5,ssl_frozen_linear_probe,0.48,0.06531972647421806
12,5,ssl_full_finetune,0.5466666666666666,0.04988876515698587
12,10,ssl_frozen_linear_probe,0.4133333333333334,0.04988876515698589
12,10,ssl_full_finetune,0.5733333333333334,0.06798692684790378
13,5,ssl_frozen_linear_probe,0.5733333333333335,0.13727506854649335
13,5,ssl_full_finetune,0.52,0.04988876515698587
13,10,ssl_frozen_linear_probe,0.5066666666666667,0.13063945294843615
13,10,ssl_full_finetune,0.6533333333333333,0.08844332774281068
14,5,ssl_frozen_linear_probe,0.5333333333333334,0.20221001184137471
14,5,ssl_full_finetune,0.6133333333333333,0.10666666666666665
14,10,ssl_frozen_linear_probe,0.5333333333333333,0.07302967433402213
14,10,ssl_full_finetune,0.52,0.08844332774281065
15,5,ssl_frozen_linear_probe,0.5066666666666666,0.03265986323710904
15,5,ssl_full_finetune,0.6799999999999999,0.11469767022723501
15,10,ssl_frozen_linear_probe,0.56,0.06798692684790378
15,10,ssl_full_finetune,0.8666666666666668,0.07302967433402213
16,5,ssl_frozen_linear_probe,0.6,0.10327955589886444
16,5,ssl_full_finetune,0.5866666666666667,0.10666666666666666
16,10,ssl_frozen_linear_probe,0.6399999999999999,0.03265986323710904
16,10,ssl_full_finetune,0.4533333333333333,0.09797958971132711
17,5,ssl_frozen_linear_probe,0.4666666666666667,0.0
17,5,ssl_full_finetune,0.4666666666666667,0.0
17,10,ssl_frozen_linear_probe,0.49333333333333335,0.05333333333333332
17,10,ssl_full_finetune,0.4933333333333333,0.05333333333333332
18,5,ssl_frozen_linear_probe,0.3466666666666667,0.14236104336041747
18,5,ssl_full_finetune,0.4666666666666667,0.09428090415820632
18,10,ssl_frozen_linear_probe,0.4133333333333333,0.02666666666666666
18,10,ssl_full_finetune,0.5333333333333333,0.04216370213557838
19,5,ssl_frozen_linear_probe,0.42666666666666664,0.1083205120618128
19,5,ssl_full_finetune,0.42666666666666664,0.08
19,10,ssl_frozen_linear_probe,0.4133333333333333,0.08844332774281066
19,10,ssl_full_finetune,0.4133333333333334,0.07774602526460402
20,5,ssl_frozen_linear_probe,0.49333333333333335,0.03265986323710903
20,5,ssl_full_finetune,0.4933333333333333,0.053333333333333316
20,10,ssl_frozen_linear_probe,0.4800000000000001,0.026666666666666665
20,10,ssl_full_finetune,0.5599999999999999,0.03265986323710904
