subject,trials_per_class,mean_accuracy,std_accuracy
1,5,0.5986111111111111,0.03813758393818327
1,10,0.7069444444444444,0.054926999814681084
1,20,0.8027777777777778,0.01789458156489599
1,50,0.8722222222222221,0.03061862178478972
2,5,0.5111111111111111,0.036903695154406745
2,10,0.525,0.02798533566612485
2,20,0.5305555555555556,0.01559023911155808
2,50,0.5222222222222223,0.021245914639969943
3,5,0.6986111111111111,0.07690482333281738
3,10,0.8166666666666667,0.036903695154406724
3,20,0.8597222222222222,0.06991507193696236
3,50,0.8805555555555555,0.03239417719358499
4,5,0.5611111111111111,0.07328281087929399
4,10,0.5652777777777778,0.04039733214513606
4,20,0.6250000000000001,0.049884124989077704
4,50,0.6458333333333333,0.050460839234958206
5,5,0.5097222222222222,0.03474998889776889
5,10,0.5027777777777778,0.003402069087198847
5,20,0.5097222222222222,0.011283386673105496
5,50,0.5430555555555555,0.04593843169039231
6,5,0.5361111111111111,0.09626513028424141
6,10,0.6041666666666667,0.07401618108041237
6,20,0.601388888888889,0.05736632341128716
6,50,0.6458333333333333,0.06846531968814576
7,5,0.5458333333333334,0.059835164523716705
7,10,0.5402777777777779,0.035246048723470896
7,20,0.6513888888888889,0.08973125169562832
7,50,0.6652777777777779,0.08268264481187342
8,5,0.7236111111111111,0.13801111513655184
8,10,0.8125,0.060540263104731575
8,20,0.8861111111111111,0.045980403770130115
8,50,0.9555555555555555,0.009419902754340662
9,5,0.6083333333333334,0.1554439083463077
9,10,0.7819444444444444,0.06031680764057908
9,20,0.7486111111111111,0.11053670972817521
9,50,0.8347222222222221,0.021245914639969943
