subject,trials_per_class,mode,mean_accuracy,std_accuracy
1,5,eegnet_from_scratch,0.4533333333333334,0.06531972647421809
1,10,eegnet_from_scratch,0.5333333333333334,0.059628479399994376
2,5,eegnet_from_scratch,0.4666666666666667,0.04216370213557838
2,10,eegnet_from_scratch,0.52,0.09797958971132713
3,5,eegnet_from_scratch,0.4533333333333334,0.02666666666666666
3,10,eegnet_from_scratch,0.48,0.04988876515698587
4,5,eegnet_from_scratch,0.5066666666666666,0.03265986323710904
4,10,eegnet_from_scratch,0.6399999999999999,0.09043106644167026
5,5,eegnet_from_scratch,0.5333333333333333,0.08432740427115676
5,10,eegnet_from_scratch,0.42666666666666664,0.14966629547095767
6,5,eegnet_from_scratch,0.4666666666666667,0.04216370213557838
6,10,eegnet_from_scratch,0.5866666666666667,0.1654623152798781
7,5,eegnet_from_scratch,0.6133333333333333,0.07774602526460399
7,10,eegnet_from_scratch,0.44000000000000006,0.12364824660660936
8,5,eegnet_from_scratch,0.4533333333333333,0.06531972647421808
8,10,eegnet_from_scratch,0.5066666666666666,0.1083205120618128
9,5,eegnet_from_scratch,0.5199999999999999,0.04988876515698588
9,10,eegnet_from_scratch,0.49333333333333335,0.05333333333333332
10,5,eegnet_from_scratch,0.4666666666666666,0.15202339001321838
10,10,eegnet_from_scratch,0.4533333333333333,0.04988876515698588
11,5,eegnet_from_scratch,0.4533333333333333,0.11469767022723501
11,10,eegnet_from_scratch,0.5599999999999999,0.05333333333333332
12,5,eegnet_from_scratch,0.49333333333333335,0.03265986323710903
12,10,eegnet_from_scratch,0.5066666666666666,0.03265986323710904
13,5,eegnet_from_scratch,0.4933333333333333,0.13063945294843615
13,10,eegnet_from_scratch,0.52,0.04988876515698587
14,5,eegnet_from_scratch,0.4666666666666667,0.04216370213557838
14,10,eegnet_from_scratch,0.4800000000000001,0.02666666666666666
15,5,eegnet_from_scratch,0.49333333333333335,0.03265986323710903
15,10,eegnet_from_scratch,0.5466666666666666,0.04988876515698587
16,5,eegnet_from_scratch,0.5066666666666667,0.06798692684790378
16,10,eegnet_from_scratch,0.5066666666666666,0.03265986323710904
17,5,eegnet_from_scratch,0.5333333333333333,0.09428090415820632
17,10,eegnet_from_scratch,0.5066666666666666,0.06798692684790378
18,5,eegnet_from_scratch,0.5066666666666667,0.11623730516108462
18,10,eegnet_from_scratch,0.52,0.02666666666666666
19,5,eegnet_from_scratch,0.4800000000000001,0.026666666666666665
19,10,eegnet_from_scratch,0.4533333333333333,0.0653197264742181
20,5,eegnet_from_scratch,0.4533333333333333,0.06531972647421809
20,10,eegnet_from_scratch,0.5066666666666666,0.06798692684790378
