subject,trials_per_class,mode,mean_accuracy,std_accuracy
1,5,ssl_frozen_linear_probe,0.5333333333333333,0.059628479399994376
1,5,ssl_full_finetune,0.5466666666666666,0.12927146286443544
1,10,ssl_frozen_linear_probe,0.5866666666666667,0.09797958971132709
1,10,ssl_full_finetune,0.72,0.0653197264742181
2,5,ssl_frozen_linear_probe,0.4533333333333334,0.02666666666666666
2,5,ssl_full_finetune,0.7066666666666667,0.10832051206181283
2,10,ssl_frozen_linear_probe,0.4533333333333334,0.02666666666666666
2,10,ssl_full_finetune,0.8400000000000001,0.08
3,5,ssl_frozen_linear_probe,0.4533333333333333,0.07774602526460399
3,5,ssl_full_finetune,0.6,0.11155467020454338
3,10,ssl_frozen_linear_probe,0.52,0.10666666666666666
3,10,ssl_full_finetune,0.5866666666666667,0.09797958971132711
4,5,ssl_frozen_linear_probe,0.5866666666666667,0.09797958971132711
4,5,ssl_full_finetune,0.64,0.05333333333333332
4,10,ssl_frozen_linear_probe,0.52,0.10666666666666666
4,10,ssl_full_finetune,0.6666666666666667,0.07302967433402217
5,5,ssl_frozen_linear_probe,0.36,0.03265986323710906
5,5,ssl_full_finetune,0.4133333333333333,0.07774602526460402
5,10,ssl_frozen_linear_probe,0.36,0.03265986323710906
5,10,ssl_full_finetune,0.42666666666666664,0.05333333333333334
6,5,ssl_frozen_linear_probe,0.5066666666666666,0.053333333333333316
6,5,ssl_full_finetune,0.42666666666666664,0.053333333333333344
6,10,ssl_frozen_linear_probe,0.5066666666666666,0.05333333333333332
6,10,ssl_full_finetune,0.6133333333333333,0.09797958971132714
7,5,ssl_frozen_linear_probe,0.4933333333333333,0.053333333333333316
7,5,ssl_full_finetune,0.76,0.11623730516108466
7,10,ssl_frozen_linear_probe,0.5466666666666666,0.06531972647421806
7,10,ssl_full_finetune,0.8533333333333333,0.07774602526460402
8,5,ssl_frozen_linear_probe,0.48,0.12927146286443542
8,5,ssl_full_finetune,0.4666666666666667,0.04216370213557838
8,10,ssl_frozen_linear_probe,0.42666666666666664,0.03265986323710904
8,10,ssl_full_finetune,0.5333333333333333,0.09428090415820632
9,5,ssl_frozen_linear_probe,0.5066666666666667,0.05333333333333332
9,5,ssl_full_finetune,0.6,0.0
9,10,ssl_frozen_linear_probe,0.5199999999999999,0.02666666666666666
9,10,ssl_full_finetune,0.6,0.0
10,5,ssl_frozen_linear_probe,0.5066666666666667,0.03265986323710903
10,5,ssl_full_finetune,0.48,0.07774602526460399
10,10,ssl_frozen_linear_probe,0.5333333333333333,0.0
10,10,ssl_full_finetune,0.52,0.1484737163421339
11,5,ssl_frozen_linear_probe,0.4666666666666666,0.059628479399994376
11,5,ssl_full_finetune,0.5466666666666666,0.04988876515698587
11,10,ssl_frozen_linear_probe,0.5733333333333334,0.09043106644167022
11,10,ssl_full_finetune,0.6,0.08432740427115676
12,5,ssl_frozen_linear_probe,0.5066666666666666,0.12364824660660936
12,5,ssl_full_finetune,0.5333333333333333,0.11155467020454338
12,10,ssl_frozen_linear_probe,0.6133333333333334,0.12220201853215569
12,10,ssl_full_finetune,0.49333333333333335,0.03265986323710903
13,5,ssl_frozen_linear_probe,0.4800000000000001,0.026666666666666665
13,5,ssl_full_finetune,0.4800000000000001,0.026666666666666665
13,10,ssl_frozen_linear_probe,0.4666666666666667,0.0
13,10,ssl_full_finetune,0.5066666666666667,0.05333333333333332
14,5,ssl_frozen_linear_probe,0.5066666666666666,0.09043106644167023
14,5,ssl_full_finetune,0.6533333333333333,0.08844332774281068
14,10,ssl_frozen_linear_probe,0.49333333333333335,0.03265986323710903
14,10,ssl_full_finetune,0.6266666666666667,0.06798692684790378
15,5,ssl_frozen_linear_probe,0.5866666666666667,0.06531972647421806
15,5,ssl_full_finetune,0.7066666666666668,0.13727506854649335
15,10,ssl_frozen_linear_probe,0.72,0.1654623152798781
15,10,ssl_full_finetune,0.8533333333333333,0.07774602526460402
16,5,ssl_frozen_linear_probe,0.56,0.07999999999999999
16,5,ssl_full_finetune,0.5333333333333333,0.059628479399994376
16,10,ssl_frozen_linear_probe,0.6266666666666667,0.03265986323710904
16,10,ssl_full_finetune,0.5733333333333334,0.1162373051610846
17,5,ssl_frozen_linear_probe,0.4533333333333334,0.02666666666666666
17,5,ssl_full_finetune,0.4800000000000001,0.02666666666666666
17,10,ssl_frozen_linear_probe,0.5066666666666666,0.06798692684790378
17,10,ssl_full_finetune,0.44000000000000006,0.03265986323710904
18,5,ssl_frozen_linear_probe,0.4133333333333333,0.06531972647421809
18,5,ssl_full_finetune,0.4933333333333333,0.09977753031397174
18,10,ssl_frozen_linear_probe,0.4,0.0
18,10,ssl_full_finetune,0.52,0.04988876515698587
19,5,ssl_frozen_linear_probe,0.4133333333333334,0.04988876515698589
19,5,ssl_full_finetune,0.4666666666666666,0.13333333333333333
19,10,ssl_frozen_linear_probe,0.4133333333333333,0.06531972647421809
19,10,ssl_full_finetune,0.38666666666666666,0.026666666666666682
20,5,ssl_frozen_linear_probe,0.4533333333333333,0.04988876515698587
20,5,ssl_full_finetune,0.5733333333333333,0.07999999999999999
20,10,ssl_frozen_linear_probe,0.4666666666666667,0.04216370213557838
20,10,ssl_full_finetune,0.5333333333333333,0.04216370213557838
