subject,trials_per_class,mode,mean_accuracy,std_accuracy
1,5,csp_lda,0.5986111111111111,0.0381375839381832
1,10,csp_lda,0.7069444444444444,0.054926999814681
1,20,csp_lda,0.8027777777777778,0.0178945815648959
1,50,csp_lda,0.8722222222222221,0.0306186217847897
2,5,csp_lda,0.5111111111111111,0.0369036951544067
2,10,csp_lda,0.525,0.0279853356661248
2,20,csp_lda,0.5305555555555556,0.015590239111558
2,50,csp_lda,0.5222222222222223,0.0212459146399699
3,5,csp_lda,0.6986111111111111,0.0769048233328173
3,10,csp_lda,0.8166666666666667,0.0369036951544067
3,20,csp_lda,0.8597222222222222,0.0699150719369623
3,50,csp_lda,0.8805555555555555,0.0323941771935849
4,5,csp_lda,0.5611111111111111,0.0732828108792939
4,10,csp_lda,0.5652777777777778,0.040397332145136
4,20,csp_lda,0.6250000000000001,0.0498841249890777
4,50,csp_lda,0.6458333333333333,0.0504608392349582
5,5,csp_lda,0.5097222222222222,0.0347499888977688
5,10,csp_lda,0.5027777777777778,0.0034020690871988
5,20,csp_lda,0.5097222222222222,0.0112833866731054
5,50,csp_lda,0.5430555555555555,0.0459384316903923
6,5,csp_lda,0.5361111111111111,0.0962651302842414
6,10,csp_lda,0.6041666666666667,0.0740161810804123
6,20,csp_lda,0.601388888888889,0.0573663234112871
6,50,csp_lda,0.6458333333333333,0.0684653196881457
7,5,csp_lda,0.5458333333333334,0.0598351645237167
7,10,csp_lda,0.5402777777777779,0.0352460487234708
7,20,csp_lda,0.6513888888888889,0.0897312516956283
7,50,csp_lda,0.6652777777777779,0.0826826448118734
8,5,csp_lda,0.7236111111111111,0.1380111151365518
8,10,csp_lda,0.8125,0.0605402631047315
8,20,csp_lda,0.8861111111111111,0.0459804037701301
8,50,csp_lda,0.9555555555555556,0.0094199027543406
9,5,csp_lda,0.6083333333333334,0.1554439083463077
9,10,csp_lda,0.7819444444444444,0.060316807640579
9,20,csp_lda,0.7486111111111111,0.1105367097281752
9,50,csp_lda,0.8347222222222221,0.0212459146399699
1,5,mu_beta_ssl_frozen_linear_probe,0.5180555555555555,0.016782008296659153
1,10,mu_beta_ssl_frozen_linear_probe,0.5319444444444444,0.02389534796400729
1,20,mu_beta_ssl_frozen_linear_probe,0.5527777777777778,0.03274951700708776
1,50,mu_beta_ssl_frozen_linear_probe,0.5694444444444444,0.011620278146306603
2,5,mu_beta_ssl_frozen_linear_probe,0.4916666666666666,0.011947673982003647
2,10,mu_beta_ssl_frozen_linear_probe,0.5125,0.027568657279554452
2,20,mu_beta_ssl_frozen_linear_probe,0.5180555555555555,0.029981990479059566
2,50,mu_beta_ssl_frozen_linear_probe,0.5194444444444444,0.018320702719823487
3,5,mu_beta_ssl_frozen_linear_probe,0.4916666666666667,0.04356774205932812
